,altname,altt,alttitle,altwhy,aw,award,awards,awattr,awref,awtype,bnote,bt,budget,by,cat,cattext,cost,coverage,date,dir,diraw,diraward,dirid,dirk,dirn,dirname,dirnote,dirstart,dist,distr,distributor,error,facts,fid,filmed,films,fnote,inc,kname,lang,length,mnote,moneynote,moneynotes,name,nm,nnote,notes,paw,pawattr,period,pname,prc,prcnote,prctext,prod,prodk,prodnote,prods,profit,rating,refdest,refto,reftype,released,rereleased,seen,sername,serno,sersize,sert,siteat,siteclass,sitedes,sitename,siteplace,sitetype,studio,studioloc,studios,t,time,ttl,url,vt,year
86,,,,,,,,,,,,,,,,,,first,,,,,AB,N,Ricardo Cassano,A.Bragaglia,,@1916,,,,,,AB2,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novissima ,Italy,,Thais,,,,,1916
87,,"End of the World as Seen, Heard, and Rendered by Abel Gance",,\GB,,,,****,,H,,,,,Hist,impressionistic,,first,,,,,AG,R,Gance,Gance,,@1916,,,,y(193x),,AG70,,"
   ",,,,,2hours 20min,,,,Honegger,,,,,,,Gance,col,,"other ? music added 1979, Thames",,N,,,,,,,,,,,,,,,,mil.inst.,,,France,,Soc.Gen.des Films,\Fr,,Austerlitz,,,,,1960
88,,,,,,,,,,,,,,,Comd,,,"count complete from 1923, also see Buster B.Keaton",,,,,ECn,N,William Beaudine,Cline,,@1916,,,,,,ECn187,,"
   ",,,,,,,,,Mahatama Kane Jeeves,,Alias: W.C. Fields,,,,,Erle C. Kenton,bnw,,,,N,,,,,,,,,,,,2,,Ole and Chic,,city,cafe,NYC,NY,,Universal,,,Jiggs and Maggie in Court,,,,,1948
89,,,,,,,,0,,H,,,,,Advt,,$2M,first,,,,,HK,R,H.King,H.King,,@1916,,,,D(?),The tear-jerker of all time,HK99.,,"
   ",,,Herrmann,,,,,,Hemingway,,,,AA,,1919,D.F.Zanuck,Mlab,,,,R,,,,,,,,,,11Mar1990,,,,,West,city,,Paris,Spain,,Fox,,,Tender is the Night,,,,,1961
90,,Carnival in Flanders,,USA,,,,**,,H,,,,,Romt,,,first,,,,,JqF,R,Feyder,Feyder,,@1916,,,,,,JqF60,,"
   ",,,,,short,,,,Lazare Meerson,,,,,,1616,A.Korda,bnw,,MGM's last silent film,,R,,,,,,,,,,,,,,,,csd>,,Flanders,Russia,,London,,,La Lois du Nord,,,,,1939
91,,,,,,,,,,,,,,,Romt,,,"first, many others",,,,,MaN,R,Neilan,Neilan,,@1916,,,,,,MaN110,,"
   ",,,,,,,,,Jean Webster,,,,,,,,bnw,,,,,,,,,,,,,,,,,,,,school,tenement,,MA,,First National,,,Sweethearts on Parade,,,,,1930
92,,,,,,,,***,,H,,,,,Dram,,,first,,,,,SFr,R,S.Franklin,S.Franklin,,@1916,,,,,,SFr60,,"
   ",,,,,,,,,Freund,,,,AA,,,Irving Thalberg,bnw,,,,N,,,,,,,,,,,,,,,,csd,,,China,,MGM,,,The Good Earth,,,,,1937
93,,,,,,,,,,,,,,,West,,,,,,,,EJL,R,LeSaint,LeSaint,,@1916,,,,,,EJL10,,"
   ",,,,,,,,,,,,,,,,,bws,,,,,,,,,,,,,,,,,,,West,,,,USA,,Universal,,,The Three Godfathers,,,,,1916
94,,,,,,,,,,,,,,,Romt,,,first,,,,,WDM,R,W.DeMille,W.DeMille,,@1916,,,,,,WDM20,,"
   ",,,,,,,,,Sir James Barrie,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,,,Paramount,,,Craig's Wife,,,,,1928
95,,,,,,,,,,,,,,,Dram,,,,,,,,AbA,R,deAntoni,deAntoni,,@1917,,,,,,AbA10,,"
   ",,,,,2 h,,,,,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,,,Ceasar,,,Il processo Clemenceau,,,,,1917
96,,,,,,,,***,,H,,,,,,,,first,,,,,AlW,R,Werker,Werker,,@1917,,,,,,AlW60,,"
   ",,,,,,,,,,,,,,,,D.Markey,bnw,,Tcol sequence,,R,,,,,,,,,,,,,,Sherlock Holmes,,city,,London,GB,,Fox,,,The Adventures of Sherlock Holmes,,,,,1939
97,,,,,,,,***,,H,,,,,Comd,,,All as D,,,,,BsK,R,B.Keaton,B.Keaton,,@1917,,,,,,BsK930,,"
   ",,,,\Sp,short,,,,Cline,,,,,,"4000BC, 0AD, 1920",B.Keaton,bnw,,,,R,,,,,A,William S. Hart,parody,,,,,,,,,public,church,,Atlantic,,Metro-Goldwyn,,,Streamlined Swing,,,,,1938
98,,,,,,,,,,,,,,,Dram,,,,,,,,FbM,R,Mari,Mari,,@1917,,,,,,FbM10,,"
   ",,,,,,,,,,,,,,,,Arturo Ambrosio,bws,,,,N,,,,,,,,,,,,,,,,,,,,,Ambrosio,,,Cenere,,,,,1917
99,,,,,,,,*,[47],H,,The Sense Of The Past,,,Actn,,,"first, many others",,,,,FLl,R,F.Lloyd,F.Lloyd,,@1917,,,,,Les Mis #3,FLl99,,"
   ",,,Rosza,,,,,,Richard Hageman,,,,AAN,,1929,William Cagney,bnw,,,,N,,,,,,,,,,1991,,,,,West,city,,Tokyo,Japan,,Cagney,England,,Blood on the Sun,,,,"N-HT4, HP7",1945
100,,,,,,,,0,,H,,,,,Comd,,,first,,,,,GM,R,Geo.Marshall,Geo.Marshall,,@1917,,,,,,GM310,,"
   ",,,George~Gershwin,,,,,,Sammy Cahn,,,,AA,,,Jack Rose,Tcol,,,,N,,,,NR,,,,,,,,,,,West,town,garden,Restful,TX,,Paramount,,,Papa's Delicate Condition,,,,,1963
101,,I'm on my Way,,,,,,,,,,,,,Comd,,,first,,,,,HL,R,H.Lloyd,H.Lloyd,,@1917,,,,,,HL20,,"
   ",,,,,52 min,,,,,,,,,,,,bws,,video compilation,,,,,,,,,,,,,,,,,,school,college,,USA,,,,,Feet First,,,,,1930
102,,,,,,,,*,****,H,,,,,Dram,,,first,,,,,IF,R,J.Ford,J.Ford,listed as Jack Ford,@1917,,,,,last Will Rogers picture,IF135,,"
   ",,,Elmer~Bernstein,,2h,,,,Alex North,,,,AAN,,1935,Bernard~Smith,$\Mcol,,,,R,,,,,A,Harry Carey,dedication,,,27Sep1999,,,,,West,island,ranch,Fiji,China,,MGM,,,Seven Women,,,,,1966
103,,,,,,,,,,,,,,,Horr,,,,,,,,ISR,R,Robertson,Robertson,,@1917,,,Paramount,,,ISR30,,"
   ",,,,,,,,,,,,,,,1918,Edward Butcher,bnw,,,,N,,,,,,,,,,,,,,,,csd,chicken farm,,MD,,Fox,,,Our Little Girl,,,,,1935
104,,,,,,,,,,,,,,,,,,,,,,,RAB,R,Baldwin,Baldwin,,@1917,,,,D(Baldwin),,RAB14,,"
   ",,,,,,,,,,,,,,,,,sbw,,,,,,,,,,,,,,,,,,,,,,,,,Universal,,,Amelita's Friend,,,,,1917
105,,Sherlock Holmes and the Secret Weapon,,USA,,,,*,,H,,The Adventure of the Six Napoleons,,,Susp,,,"first, etc.",,,,,RWN,R,R.W.Neill,R.W.Neill,,@1917,,,,"Ser(also ser(Sherlock Holmes), not representable)",,RWN46,,"
   ",,,Woolrich,,,,,,A.C.Doyle,,,,,,,Howard Benedict,bnw,,,,N,,,,,,,,,,,,1,,Sherlock Holmes,Vasaria,city,,London,GB,,Universal,,,Dressed to Kill,,,,,1946
106,,,,,,,,v,,H,,,,,West,,,first,,,,,RyB,R,Boleslawski,Boleslawski,,@1917,,,,D,Mis\#7,RyB18,,"
   ",,,,,,,,,Peter Bernard Kyrs,,,,,,,J.Mankiewicz,Tcol,,,,R,,,,,,,,,,,,,,,West,theater,opera house,Hollywood,USA,,MGM,,,The Three Godfathers,,,,,1936
107,,,,,,,,**,,H,,,,,Comd,,,first,,,,,ViS,R,Schertzinger,Schertzinger,,@1917,,,,,,ViS87,,"
   ",,,,,,,,,A.Sullivan,,,,,,,Paul Jones,bnw,2 color \Tcol,,,N,,,,,,,,,,,,,,,West,csd,,Navajo reservation,Japan,,Paramount,\G.B.,,The Fleet's In,,,,,1942
108,,,,,,,,,,,,,,,Myst,,,first,,,,,ChB,N,Ch.Vidor,Brabin,,@1918,,,,,,ChB9,,"
   ",,,,,,,,,C.Gibbons,,,,,,,Thalberg,bnw,,,,R,,,,,,,,,,,,18,,Fu Manchu,,,,,China,,MGM,,,The Mask of Fu Manchu,,,,,1932
109,,,,,,,,**,,H,,McTeague,,,Dram,,,first,,,,,EvS,R,vonStroheim,vonStroheim,,@1918,,,,,,EvS8,,"
   ",,,,,196 min,,,,Frank Norris,,,,,,1800,Thalberg,bws,,"released with 130mins, full length restored from stills in 1999",,R,,,,,,,,,1999,,,,,,,city,,S.F.,Austria,,Paramount,USA,,Queen Kelly,,,,,1928
110,,,,,,,,0,,H,,,,,Dram,,,first,,,,,FrN,R,Niblo,Niblo,,@1918,,,,,,FrN11,,"
   ",,,,,,,,,,,,,,,1820,S.Goldwyn,bws,,,,R,,,,,,,,,,,,,,,,town,,L.A.,Russia,,MGM,,,The Mysterious Lady,,,,,1928
111,,,,,,,,0,,H,,,,,Dram,,,first,,,,,IMS,R,Stahl,Stahl,,@1918,,,,,,IMS70,,"
   ",,,Nunally~J.,,,,,,Leon Shamroy,,,,AA,,1900-1931,William A. Bacher,Tcol,,,,N,,,,,,,,,,,,,,,South,csd,,NYC,NM,,Fox,,,Oh You Beautiful Doll,,,,N-HP7,1949
112,,,,,,,,,,,,,,,Dram,,,,,,,,JKm,R,J.Kaufman,J.Kaufman,,@1918,,,,,,JKm10,,"
   ",,,,,,,,,,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,,,Paramount,,,Song of Songs,,,,,1918
113,,,,,,,,*,,AANdir,,,,,BioP ,,,first,,,,,KV,R,K.Vidor,K.Vidor,,@1918,,,,,,KV64,,"
   ",,,Burks,,,,,,Steiner,,,,AA,,1810,Carlo Ponti,Tcol,,,,R,,,,,,,,,,,,,,,West,town,buildings,Paris,Russia,,DeLaurentiis,,,War and Peace,,,,,1956
114,,The Hypnotist,,\GB,,,,*,[8],H,,,,,Horr,,,"first, etc.",,,,,TB,R,T.Browning,T.Browning,,@1918,,,,T.Browning D? 1929?-- used in remakes),no remaining prints,TB70,,"
   ",,,,,,,,,Howe,,,,,,,E.J. Mannix,bnw,,,,N,,,,,,,,,,,,,,,Transylvania,am.park,circus,,Romania,,MGM,,,The Devil Doll,,,,N-HQ6,1936
115,,,,,,,,0,,H,,I'm Old Fashioned,,,Romt,,,first,,,,,WAS,R,Seiter,Seiter,,@1918,,,,,accidentally P=Capra,WAS130,,"
   ",,,,,,,,,Johnny Mercer ,,,,AAN,,,Howard Benedict,bnw,,,,N,,,,,,,,,,,,,,,NYC,work,ranch,Macy's,NY,,Universal,,,A Touch of Venus,,,,,1948
116,,Indian Love Call,,TV,,,,*,[47],H,,,,,Dram,,,first,,,,,WvD,R,VanDyke,VanDyke,,@1918,,,,,first 3-color Tcol,WvD79,,"
   ",,,Hecht,,160 min,,,,Oliver T. Marsh,,,,AAN,,,J.Mankiewicz,bnw,,sound added later,,R,,,,,,,,,,,,4,,Thin Man,West,city,,Cairo,Egypt,,MGM,,,Cairo,,,,,1942
117,,,,,,,,0,,H,,,,,Dram,,,,,,,,AbP,R,Albert~Parker,Albert~Parker,,@1919,,,,,,AbP50,,"
   ",,,,,,,,,,,,,,,,,bnw,,,,,,,,,,,,,,,,,,,,,,,,,British Fox,,,Blind Man's Bluff,,,,,1936
118,,,,,,,,*,,H,,`Everybody Comes to Rick's',,,Advt,,,first,,,,,C,R,Curtiz,Curtiz,,@1919,,,,T),based on Wyatt Earp,C171,,"
   ",,25M,,,,,,,Rudolf Friml,,,,AAN,,14__,Greenhut,Mcol,,flashbacks in flashbacks in flashbacks,,R,,,,NR,,,,,,26Dec1998,,2,,4Daughters,North East,mil.inst,small town,Yale,MO,,MGM,Austria,,The Adventures of Huckleberry Finn,,,,,1960
119,,,,,,,,0,,H,,,,,Romt,,,first ?,,,,,CBa,R,Badger,Badger,,@1919,,,,,,CBa50,,"
   ",,,,,,,,,,,,,,,1850,B.P. Schulberg,Tcol,,,,R,,,,,,,,,,,,,,,Paris,city,,Champs Elysees,France,,Warners,,,No No Nanette,,,,,1930
120,,,,,,,,,,,,,,,Myst,,,,,,,,EmC,R,Chautard,Chautard,,@1919,,,,,,EmC10,,"
   ",,,,,,,,,Gaston Leroux,,,,,,,Paramount,bws,,,,N,,,,,,,,,,,,,,,,,,,,,,\Fr,,The Mystery of the Yellow Room,,,,,1919
121,,Man Hunt,,USA,,,,**,,H,,La Chienne,,,Susp,,8M,first,,,,,,R,F.Lang,F.Lang,,@1919,,,,M krasner),similar to M in style,FL46.,,"
   ",,,Nunally~J.,,5h,"1900 recording, sound added, 1984",,mark,Sidney Boehm,,,,AAN,,1944,Robert Arthur,bnw,,restored,,N,,,,PG,,,,,,"16Apr1991, 5Jan1992 ",,,,,NYC,school,college,London,GB,,Columbia,USA,,Die Tausend Augen des Dr.~Mabuse,,,,,1960
122,,Our Daily Bread,,USA,,,,**,,H,,Die Reise Nach Tilsit,,,Romt,,,first,,,,,FM,R,Flaherty,F.W.Murnau,,@1919,,,Paramount,,no subtitles!,FM10,,"
   ",,,,,,,,,Floyd~Crosby,,,,AAN,,,Flaherty,bws,separate synchronized soundtrack,,,R,,,,,,,,,,2Mar1988,,,,,Bora Bora,island,trolley,Tahiti,Oceania,,Fox,USA,,Tabu,,,,,1931
123,,,,,,,,***,,H,,,,,Comd,,,,,,,,FNm,N,G.Douglas,Newmeyer,,@1919,,,,also Whelan,,FNm40,,"
   ",,,,,,,,,,,,,,,,Roach,sbw,,,,R,,,,,,,,,,,,,,Our Gang,NYC,work,"clock, skyscaper",,NY,,,,,General Spanky,,,,,1936
124,,,,,,,,0,,H,,`The Great Magoo',,,Comd,,,first,,,,,GAr,R,Archainbaud,Archainbaud,,@1919,,,,,,GAr80,,"
   ",,,Hecht,,,,,,Gene Fowler,,,,,,1918,William C. Thomas,bnw,,,,N,,,,,,,,,,,,,,,airfields,am.park,circus,,USA,,Paramount,,,Some Like It Hot,,,,,1939
125,,Love Never Dies,,\GB,,,,*,,H,,,,,Dram,,,first,,,,,GF,R,Archainbaud,Fitzmaurice,,@1919,,,,,,GAr100,,"
   ",,,,,,,,,Abbott,,,,,,1914,Louis D. Lighton,bnw,,sound effects,,N,,,,,,,,,,,,,,,,city,,London,KA,,MGM,\GB,,The Kansan,,,,,1943
126,,,,,,,,*,,H,,,,,Susp,,,first,,,,,HB,R,H.Beaumont,H.Beaumont,,@1919,,,,,,HB95,,"
   ",,,Freed,,60 min,,,,Nacio Herb Brown,,,,,,,Hubbard,bnw,,sound!,,R,,,,,,,,,,,,,,,MidWest,train,court,Chicago,IL,,MGM,,,Murder in the Private Car,,,,,1934
127,,,,,,,,,,,,,,,Dram,,,,,,,,HuF,R,H.Ford,H.Ford,,@1919,,,,,,HuF11,,"
   ",,,,,,,,,Alive Hegan Rice,,,,,,,,bws,,titles by Hitchcock,,,,,,,,,,,,,,,,,,,,,,,FPL,,,The Call of Youth,,,,,1920
128,,Holiday for Henrietta,,USA,,,,*,,H,,,,,Romt,,,first,,,,,JuD,R,Duvivier,Duvivier,,@1919,,,,,5 vignettes,JuD34,,"
   ",,,Hecht,\Fr,,,,,Zola,,,,,,14Jul,A.Korda,bnw,,,,R,,,,,,,,,,,,,,,Paris,city,suburb,Paris,France,,London,USA,,Pot-Boullie,,,,,1957
129,,,,,,,,v,,H,,,,,Dram,,,first,,,,,RhS,R,Schunzel,Schunzel,,@1919,,,,,,RhS40,,"
   ",,,,,,,,,Schunzel,,,,,,,,bnw,,,,,,,,,,,,,,,,,,,,city,world,Hamburg,Germany,,UFA,,,The Great Awakening,,,,,1941
130,,,,,,,,,,,,,,,Comd,,,,,,,,RiO,R,R.Oswald,R.Oswald,,@1919,,,,,,RiO50,,"
   ",,,,,,,,,,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,,,,US,,The Lovable Cheat,,,,,1949
131,,The Cabinet of Dr.~Caligari,,USA,,,,***,,H,,,,,Horr,,18K,first,,,,,RW,R,Wiene,Wiene,,@1919,,,,,,RW30,,"
   ",cubist,,,,,,,,Willy Hameister,,,,,,,Erich Pommer,bnw,,,,N,,,,,,,,,,,,,,,,hospital,asylum,,Germany,,Decla-Bioscoop,,,The Hands of Orlac,,,,,1924
132,,Marie Walewska,,\GB,,,,0,,H,,,,,Romt,,,first,,,,,CBw,R,Cl.Brown,Cl.Brown,,@1920,,,,lc),first talkie with Garbo,CBw48,,"
   ",,,Surtees,,,,,,Ben~Maddow,,,,AA,,"1914,1945",Cl.Brown,bnw,,,,R,,,,,,,,,,,,,,,csd,sports,baseballfields,Oxford,USA,,MGM,,,Angels in the Outfield,,,,,1952
133,,Day of Wrath,,USA,,,,***,,H,,Dies Irae,,,Dram,,,first,,,,,CDr,R,Dreyer,Dreyer,,@1920,,,,,,CDr40,,"
   ",,,,\Da,,,,,Kaj Munk,,,,,,,Nicholas DeGunzburg,bnw,,,,N,,,,,,,,,,29Oct1993,,,,,,estate,mansion,Courtempierre,France,,Palladium ,Denmark,,Ordet,,,,,1955
134,,,,,,,,0,,H,,,,,Comd,,,"first, etc.",,,,,CuB1,R,Bernhardt,Bernhardt,,@1920,,,,,Not a rmk of CBw14,CuB44,,"
   ",,,,,,,,,Lehar,,,,,,,Bernhardt,bnw,,,,R,,,,,,,,,,,,,,,,city,,Washington,DC,,Warners,,,Kisses for My President,,,,,1964
135,,,,,,,,**,,H,,,,,Dram,,,first,,,,,FB,R,Borzage,Borzage,,@1920,,,,J.A. = Joseph Valentine),"banned by Goebbels, with all MGM movies",FB61,,"
   ",,,Harry~Warren,,,,,,Franz Waxman,,,,AA,,1920,S.Franklin,bnw,,,,R,,,,,,,,,,15Feb1988,,,,,,jail,French penal colony,NYC,Germany,,MGM,,,Moonrise,,,,,1949
136,,,,,,,,,,,,,,,Comd,,,first ?,,,,,GCt,R,Cutts,Cutts,,@1920,,,Wardour,"same as H3, 1922?)",,GCt70,,"
   ",,,,,,,,,Jerome K. Jerome,,,,,,,Balcon,sbw,,,,R,,,,,,,,,,,,,,,,,,,,,ATP,,,Just William,,,,,1927
137,,,,,,,,,,,,L'Orizzontale,,,Romt,,,,,,,,GRi,R,Righelli,Righelli,,@1920,,,,,,GRi50,,"
   ",,,,\It,,,,,Augusto Genina,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,,,Pert-Pittalunga,,,Peddlin' in Society,,,,,1946
138,,,,,,,,,,,,,,,Comd,,,,,,,,HBl,R,Blanche,Blanche,,@1920,,,,,,HBl20,,"
   ",,,,,,,,,,,,,,,,,cld,,,,,,,,,,,,,,,,,,,,city,,NYC,NY,,,,,The Saphead,,,,,1921
139,,Let's Make Up,,USA,,,,0,,H,,,,,Dram,,,first,,,,,HWx,R,H.Wilcox,H.Wilcox,,@1920,,,,,,HWx60,,"
   ",,,,,,,,,Anthony Collins,,,,AAN,,1944,H.Wilcox,bnw,,,,R,,,,,,,,,,,,,,,,estate,mansion,London,GB,,British Lion,,,The Man Who Wouldn't Talk,,,,,1957
140,,,,,,,,0,,H,,,,,Comd,,,,,,,,JWH,R,Horne,Horne,,@1920,,,,Ser(no),,JWH120,,"
   ",,,,,,,,,Marvin Hatley,,,,AAN,,,Stan Laurel,bnw,,,,N,,,,,,,,,,22Nov1989,,16,15,Spider,West,csd,,,USA,,Columbia,,,Holt of the Secret Sevice,,,,N-CO1,1942
141,,L'Amercaine,,France,,,,,,,,,,,,,,all,,,,,LD,R,Delluc,Delluc,,@1920,,,,,,LD6,,"
   ",,,,,,,,,Delluc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L'innodation,,,,,1924
142,,,,,,,,,,,,,,,Fant,,,,,,,,LPo,R,L.Poirier,L.Poirier,,@1920,,,,,,LPo10,,"
   ",,,,,,,,,Balzac ``La Peau de Chagrin'',,,,,,,,,,,,,,,,,,,,,,19Feb1994,,,,,,resort,,Cote,France,,,,,Narayana,,,,,1920
143,,,,,,,,**,,H,,,,,Docu,,,first,,,,,RoF,N,Zoltan Korda,R.Flaherty,,@1920,,,,,,RoF30,,"
   ",,,,,,,,,Ch.Crichton,,,,,,,Alexander Korda,bnw,,,,N,,,,,,,,,,,,,,,Scotland,island,,Safune,India,,Gainsborough,,,Elephant Boy,,,,,1937
144,,,,,,,,0,[47],H,,,,,BioP,,,"first, etc.",,,,,SW,R,S.Wood ,S.Wood,,@1920,,,,,,SW34,,"
   ",,,Nunally~J.,,,,,,Harold Rosson,,,,AAN,,1938,Jack Cummins,col,,,,N,,,,R,,,,,,,,,,,Saratoga Springs,city,store,Paris,France,,RKO,London,,Ambush,,,,,1950
145,,,,,,,,0,[8],H,,,,,Dram,,,first,,,,,VF,R,V.Fleming,V.Fleming,,@1920,,,,St(RKO),,VF48,,"
   ",,2000M,Valentine,,,,,,Hugo Friedhofer,,,,AAN,,,Wanger,Tcol,,,,R,,,,,,,,,,,,,,,South,town,mansion,Monterey,France,,MGM,,,Joan of Arc,,,,"N-BA3, `The Making of a Legend'",1948
146,,,,,,,,***,,H,,,,,Comd,,,first,,,,,ViH,R,Heerman,Heerman,,@1920,,,,,,ViH20,,"
   ",,,,,,,,,Harry Ruby,,,,,,,,bnw,,,,,,,,,,,,,,,,,,,Long Island,estate,,Rittenhouse manor,NY,,Paramount ,Astoria L.I.,,Animal Crackers,,,,,1930
147,,,,,,,,-,,H,,,,,,,,,,,,,Z20,R,UnYear20,UnYear20,,@1920,,,,,,Z2010,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Within Our Gates,,,,,1920
148,,,,,,,,*,,H,,,,,Romt,,,first,,,,,AdB,R,Brunel,Brunel,,@1921,,,,,,AdB21,,"
   ",,,,,,,,,Reville,,,,,,,Balcon,bnw,,,,R,,,,,,,,,,,,,,,,csd,,,Austria,,Islington,,,The Constant Nymph,,,,,1927
149,,,,,,,,,,,,,,,,,,,,,,,AnD,R,Deed,Deed,,@1921,,,,,,AnD10,,"
   ",,,,,,,,,,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,,,Milano,,,L'Uomo Meccanico,,,,,1921
150,,,,,,,,***,,H,,,,,Comd,,,first,,,,,EdS,R,Sedgwick,Sedgwick,,@1921,,,,,,EdS75,,"
   ",,,,,,,,,,,,,,,,Lawrence Weingarten,bnw,,,,N,,,,,,,,,,,,,,,,city,,NYC,NY,,MGM,,,Speak Easily,,,,,1932
151,,,,,,,,0,,H,,,,,Comd,,,first,,,,,EHG,R,E.H.Griffth,E.H.Griffith,,@1921,,,U.A.,,,EHG50,,"
   ",,,Harry~Warren,,,,,,Johnny Mercer,,,,AAN,,1943,Edward H. Griffith,bnw,,,,N,,,,,,,,,,11Feb1991,,,,,,bar,night club,NYC,NY,,RKO,,,The Sky's the Limit,,,,,1943
152,,,,,,,,***,,VIP,,,,,Surr,dada,,,,,,,HRi,R,Richter,Richter,,@1921,,,BFI,,,HRi19,,"
   ",,,,,short,,,,Milhaud,,,,,,,,,,,,,,,,,,,,,,9Oct2002,,,,,,,,,,,,,,dadascope,,,,,1961
153,,,,,,,,,,,,,,,Comd,,,first,,,,,PRo,R,Rosen,Rosen,,@1921,,,,,,PRo96,,"
   ",,,,,,,,,,,,,,,,,bnw,,,,,,,,,,,,,,,,37,,Charlie Chan,MidWest,city,,Washington,DC,,Monogram,,,The Red Dragon,,,,,1945
154,,,,,,,,v,,H,,,,,Susp,,,first,,,,,RaI,R,R.Ince,R.Ince,,@1921,,,,,related to N.Lee: no Exit?,RaI60,,"
   ",,,,,,,,,,,,,,,,Irving Asher,bnw,,,,N,,,,,,,,,,,,,,,,csd,plantation,,Monte Carlo,,Warners,,,The Man Who Made Diamonds,,,,,1937
155,,,,,,,,,,,,,,,Dram,,,,,,,,RCS,R,Smallwood,Smallwood,,@1921,,,,,,RCS10,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Camille,,,,,1921
156,,,,,,,,,,,,,,,,,,first,,,,,RxI,R,Rex~Ingram,Rex~Ingram,,@1921,,,,,,RxI50,,"
   ",,,,,,,,,J.F.Seitz,,,,,,1916,,sbw ,,,,,,,,,,,,,,,,,,,,,,,Argentina,,,,,Love in Morocco,,,,,1933
157,,,,,,,,0,,H,,,,,Comd,,,first,,,,,SaT,R,Sam~Taylor,Sam~Taylor,,@1921,,,,D,,SaT23,,"
   ",,,,,,,,,Karl Struss,,,,,,,B.F. Ziedman,bnw,,First U.A. talkie,,R,,,,,,,,,,,,,,,,,,,,,MGM,,,Nothing But Trouble,,,,,1945
158,,,,,,,,,,,,,,,,,,,,,,,VMa,R,Mayakowski,Mayakowski,,@1921,,,,,,VMa20,,"
   ",,,,,,,,,A.Rodchenko,,,,,,,,bnw,,,,,,,,,,,,,,,,,,,,,,,,,,\Ru,,The Bedbug,,,,,1929
159,,,,,,,,,,,,,,,,,,,,,,,Z21,R,UnYear21,UnYear21,,@1921,,,,,,Z2110,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Great Impersonation,,,,,1921
160,,,,,,,,,,,,,,,Dram,,,,,,,,CBy,R,C.Bryant,C.Bryant,,@1922,,,,,,CBy10,,"
   ",,,,,,,,,Natacha Rambova,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salome,,,,,1922
161,,,,,,,,,,,,,,,Surr,,,,,,,,DMu,R,D.Murphy,D.Murphy,,@1922,,,,,,DMu10,,"
   ",,,,,Short,,,,Dubose Heyward,,,,,,,Fernand Leger,bws,,,,N,,,,,,,,,,,,,,,,,,,,,,,,Emperor Jones,,,,,1933
162,,,,,,,,,,,,,,,Comd,,,,,,,,FNm,R,Newmeyer,Newmeyer,,@1922,,,,,,FNm10,,"
   ",,,,,,,,,,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doctor Jack,,,,,1922
163,,,,,,,,0,,H,,,,,Horr,,,first,,,,,JEp,R,J.Epstein,J.Epstein,,@1922,,,,,,JEp31,,"
   ",,,,,,,,,Edgar Allen Poe,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,GB,,Gaumont,,,Le Tempestaire,,,,,1947
164,,,,,,,,,,,,,,,Dram,,,first,,,,,LuB,R,Berger,Berger,,@1922,,,,,Last prewar Dutch film,LuB21,,"
   ",,,,,,,,,,,,,,,,Rudolf Meyer,bnw,,,,N,,,,,,,,,,,,,,,,,,,Holland,,Cinetone,\Ge,,Ergens in Nederland,,,,,1937
165,,,,,,,,,,,,,,,,,,first,,,,,SeH,R,Se.Hicks,Se.Hicks,,@1922,,,,Hicks D?,,SeH60,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pastor Hall,,,,,1939
166,,,,,,,,**,,H,,`The Great Magoo',,,Romt,,,first,,,,,WR,R,Ruggles,Ruggles,,@1922,,,,,,WR120,,"
   ",,,Hecht,,,,,,W.Somerset Maugham,,,,AAN,,1910-1918,Ruggles,bnw,,tinted,,R,,,,,,,,,,1989,,,,,NYC,town,library,Paris,USA,,Columbia,,,Too Many Husbands,,,http://www.mdle.com/ClassicFilms/HotTips/84c.htm,N-HP4,1938
167,,,,,,,,,,,,,,,Comd,,,,,,,,AGe,R,Genina,Genina,,@1923,,,,,,AGe20,,"
   ",,,,,,,,,Dario Nicodemi,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,,,Nero,,,Scampolo,,,,,1928
